Magnification,cosmology_parameters_cosmology_name,detector_parameters_background_noise,detector_parameters_ccd_gain,detector_parameters_exposure_time,detector_parameters_magnitude_zero_point,detector_parameters_num_exposures,detector_parameters_pixel_scale,detector_parameters_read_noise,detector_parameters_sky_brightness,lens_light_parameters_R_sersic,lens_light_parameters_center_x,lens_light_parameters_center_y,lens_light_parameters_e1,lens_light_parameters_e2,lens_light_parameters_mag_app,lens_light_parameters_n_sersic,lens_light_parameters_output_ab_zeropoint,lens_light_parameters_z_source,main_deflector_parameters_M200,main_deflector_parameters_center_x,main_deflector_parameters_center_y,main_deflector_parameters_dec_0,main_deflector_parameters_e1,main_deflector_parameters_e2,main_deflector_parameters_gamma,main_deflector_parameters_gamma1,main_deflector_parameters_gamma2,main_deflector_parameters_ra_0,main_deflector_parameters_theta_E,main_deflector_parameters_z_lens,psf_parameters_fwhm,psf_parameters_psf_type,seed,source_parameters_R_sersic,source_parameters_center_x,source_parameters_center_y,source_parameters_e1,source_parameters_e2,source_parameters_mag_app,source_parameters_n_sersic,source_parameters_output_ab_zeropoint,source_parameters_z_source
0.9084447968994894,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.9369327160611375,-0.017726844687640582,0.004914058418536555,0.0,0.0,14.127002134031969,4.0,27.79,def,10000000000000.0,-0.017726844687640582,0.004914058418536555,0.0,0.0,0.0,1.8111187375577307,0.0,0.0,0.0,1.6311278168355003,0.0914954446709263,0.71,GAUSSIAN,[2752561149],0.019502130286400576,1.143323955674971,-0.21539558876901266,0.14707820387672357,0.012336689977539715,25.095843578619075,1.0,27.79,0.5938181505472774
5.423310634826111,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.7461450374104592,-0.15138145189501342,-0.041680655382502096,0.0,0.0,16.541013288743986,4.0,27.79,def,10000000000000.0,-0.15138145189501342,-0.041680655382502096,0.0,0.0,0.0,1.5536721516218737,0.0,0.0,0.0,1.8191666441040706,0.4343538902668852,0.71,GAUSSIAN,[2752561150],0.23710358077281218,0.528183191196656,-0.868683500303542,0.15985199626604904,-0.30373936685158404,26.438860802578706,1.0,27.79,0.9720096412594507
2.544122689769328,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.1407440691641979,0.17531130793096295,0.03095472073353522,0.0,0.0,16.09356722373232,4.0,27.79,def,10000000000000.0,0.17531130793096295,0.03095472073353522,0.0,0.0,0.0,1.9367165383829832,0.0,0.0,0.0,1.490502828425259,0.16262147159083562,0.71,GAUSSIAN,[2752561151],0.3205236150556073,-0.15936946271233132,-1.1143746299957207,0.34531086248152776,0.43162287291905266,24.552959540603297,1.0,27.79,0.48027021449967977
2.8383118196160777,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.9156624362353583,0.018682589630868867,-0.14111240461872573,0.0,0.0,17.43957120191808,4.0,27.79,def,10000000000000.0,0.018682589630868867,-0.14111240461872573,0.0,0.0,0.0,2.0786073654672355,0.0,0.0,0.0,1.2472506592628108,0.04744527638700052,0.71,GAUSSIAN,[2752561152],0.16508407964820773,-0.2092886343418263,0.8226375686467418,-0.3176458423847585,0.3061554026739713,25.1943257389297,1.0,27.79,1.5941310696794062
13.058097889513892,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.8535954510009962,-0.0454239278901406,-0.1493836602989427,0.0,0.0,20.1044559640564,4.0,27.79,def,10000000000000.0,-0.0454239278901406,-0.1493836602989427,0.0,0.0,0.0,1.8494154063383106,0.0,0.0,0.0,1.953694566871987,0.39294131891091105,0.71,GAUSSIAN,[2752561153],0.40624139603448706,0.0048429068905810144,0.16214261910877464,-0.25468075943477775,-0.1931190644244754,24.543699880772408,1.0,27.79,1.6589973200285004
4.778364857275103,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.8047417256667825,0.12736988999501106,-0.0073872236360668815,0.0,0.0,20.709389029917244,4.0,27.79,def,10000000000000.0,0.12736988999501106,-0.0073872236360668815,0.0,0.0,0.0,2.2088576593896776,0.0,0.0,0.0,1.5259373936829423,0.39191239813298795,0.71,GAUSSIAN,[2752561154],0.38767668857568477,0.33958133309116556,0.4455580565551234,0.0754360225758884,-0.282777222553783,25.918117049818278,1.0,27.79,1.3918550230585418
5.66168003545283,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.3086009709592663,-0.04332789632002804,0.0992359942485404,0.0,0.0,16.730856642875686,4.0,27.79,def,10000000000000.0,-0.04332789632002804,0.0992359942485404,0.0,0.0,0.0,2.3036760569198638,0.0,0.0,0.0,2.5079378115570568,0.9640963282015429,0.71,GAUSSIAN,[2752561155],0.6990780266119897,0.0981611616963303,-0.6436325894857499,-0.674427701005349,-0.4448248681297482,26.833618727836456,1.0,27.79,1.508871354508663
5.019021475151754,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.5594317296836147,0.010243145091910244,-0.056123223330190576,0.0,0.0,20.616075929095146,4.0,27.79,def,10000000000000.0,0.010243145091910244,-0.056123223330190576,0.0,0.0,0.0,1.8521986607058842,0.0,0.0,0.0,1.7207792430469429,0.8328874461501017,0.71,GAUSSIAN,[2752561156],0.28411888262198326,-0.6175305089411934,0.4410250609224617,-0.29469170054360183,0.06033877111821752,27.482973913650945,1.0,27.79,1.7322885319213315
1.6261414171550421,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.1781150585555802,-0.16078485927918176,-0.12449215328642758,0.0,0.0,16.753098468793784,4.0,27.79,def,10000000000000.0,-0.16078485927918176,-0.12449215328642758,0.0,0.0,0.0,2.2891550196694905,0.0,0.0,0.0,0.8891097580290477,0.6828912200132518,0.71,GAUSSIAN,[2752561157],0.33461809450305735,0.3284500431486607,0.8849666239468696,0.0225345940656473,-0.05080967115329876,23.86167919150076,1.0,27.79,1.523628965303796
0.9483345049162631,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.8721675631369459,-0.1452931121255374,0.05564432090040638,0.0,0.0,15.85564316006323,4.0,27.79,def,10000000000000.0,-0.1452931121255374,0.05564432090040638,0.0,0.0,0.0,2.2482872094029407,0.0,0.0,0.0,0.7142467334221795,0.4704913442343568,0.71,GAUSSIAN,[2752561158],0.051246556544779276,0.0026186248222312847,-0.4051369109596452,-0.024458440380569067,-0.16602307408933534,23.56288122208889,1.0,27.79,1.7206263118787226
7.730891845886778,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.6325025244249574,-0.11198776846669684,0.08600215027735901,0.0,0.0,16.748174882729817,4.0,27.79,def,10000000000000.0,-0.11198776846669684,0.08600215027735901,0.0,0.0,0.0,2.0587700743878763,0.0,0.0,0.0,1.698596330886934,0.5914111182147467,0.71,GAUSSIAN,[2752561159],0.6126735489907338,-0.00041084376144577377,0.2881611620095174,-0.24096651756125745,0.181500328351392,23.7080554188064,1.0,27.79,1.5226353935991326
5.332473364745851,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.0383718329287448,0.2277676596311991,-0.12764503777627445,0.0,0.0,18.83835426773064,4.0,27.79,def,10000000000000.0,0.2277676596311991,-0.12764503777627445,0.0,0.0,0.0,2.0471307729570514,0.0,0.0,0.0,1.8632709655790178,0.7239814790471252,0.71,GAUSSIAN,[2752561160],0.5578306838076377,0.22624766189487747,-0.9585959188776768,-0.272010411085124,-0.0688318011635368,24.207333546565504,1.0,27.79,1.057885253060916
1.438708106995789,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.6756451936800449,0.02800385777614438,0.3600128479260296,0.0,0.0,18.89383658574329,4.0,27.79,def,10000000000000.0,0.02800385777614438,0.3600128479260296,0.0,0.0,0.0,2.1951905671677427,0.0,0.0,0.0,1.3901711549081484,0.914719111994671,0.71,GAUSSIAN,[2752561161],0.03342975568627518,-0.6099511497221135,-0.10350131855939686,0.02898135959307566,0.25935121040004094,23.509714823786183,1.0,27.79,1.1568131588171675
5.96822482826642,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.624726808078326,0.08645519808705181,0.03842157826765954,0.0,0.0,17.34041106752352,4.0,27.79,def,10000000000000.0,0.08645519808705181,0.03842157826765954,0.0,0.0,0.0,1.795261557024432,0.0,0.0,0.0,1.7624864210796474,0.48108320245870817,0.71,GAUSSIAN,[2752561162],0.04014621802764118,0.049823563600154316,1.1286236954965327,0.061955488746919495,0.026266202203569643,23.69976493635921,1.0,27.79,1.2803615056908026
3.9510311594197725,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.4927029317136105,0.06571334716156746,0.10694121318513568,0.0,0.0,14.863220200465108,4.0,27.79,def,10000000000000.0,0.06571334716156746,0.10694121318513568,0.0,0.0,0.0,2.2689958356923867,0.0,0.0,0.0,1.811419250322264,0.5664316169232598,0.71,GAUSSIAN,[2752561163],0.5737224643344174,-0.2981147398349379,0.7416467474245493,0.0944410947025412,0.14151411994749358,25.961273515483132,1.0,27.79,0.9094855861072835
5.004410829714175,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.022091970715303,0.1311056513337151,0.022468157120455603,0.0,0.0,20.98873170897637,4.0,27.79,def,10000000000000.0,0.1311056513337151,0.022468157120455603,0.0,0.0,0.0,1.9857824574497571,0.0,0.0,0.0,2.009569348196387,0.8806766016297356,0.71,GAUSSIAN,[2752561164],0.5436804702636857,0.7295119264718282,-0.7081577441398959,0.13869912839518306,-0.14404349554466808,25.815891952319248,1.0,27.79,0.928717553885212
5.2672854936348505,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.6375028060405628,-0.012271980078332257,-0.10292687849486339,0.0,0.0,18.589670390143702,4.0,27.79,def,10000000000000.0,-0.012271980078332257,-0.10292687849486339,0.0,0.0,0.0,2.0465046924465047,0.0,0.0,0.0,1.4187132015623656,0.7024093441585706,0.71,GAUSSIAN,[2752561165],0.26891546543652955,-0.4141961488100001,0.21343979509088062,-0.5649312010475876,-0.1545361202264606,24.549703252883585,1.0,27.79,1.2666530422778908
2.690221931800487,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.6961901761120736,0.16712603487334407,0.012565387800333531,0.0,0.0,16.385301171499297,4.0,27.79,def,10000000000000.0,0.16712603487334407,0.012565387800333531,0.0,0.0,0.0,1.538144203167611,0.0,0.0,0.0,0.5087870068655602,0.7515337361812233,0.71,GAUSSIAN,[2752561166],0.8977965963822214,-0.26839450486220867,0.6704891201714136,0.20073628195244608,0.0186069398002918,26.11819061834389,1.0,27.79,0.9031629305365885
